Station,Group,Taxa,Region,YearMin,YearMax,Yeartot,MeanCPUE,Occurences,Latitude,Longitude
428,Fish,"Alosa sapidissima, Engraulis mordax, Morone saxatilis, Spirinchus thaleichthys",Suisun Bay,1995,2020,"24, 25, 20","8.911697121, 42.11369785, 17.33255339, 43.85996984","71, 103, 80, 64",38.062,-122.1053
429,Fish,"Alosa sapidissima, Engraulis mordax, Morone saxatilis, Spirinchus thaleichthys",Suisun Bay,"1995, 1996",2020,"25, 24, 26, 20","9.929582152, 21.61858401, 12.08252978, 36.17683668","69, 73, 89, 52",38.08583333,-122.0768333
430,Fish,"Alosa sapidissima, Morone saxatilis",Suisun Bay,1995,2020,"25, 22","16.43464159, 15.3918384","78, 85",38.1082,-122.055
431,Fish,"Alosa sapidissima, Morone saxatilis",Suisun Bay,1995,2020,"25, 24","17.08495585, 16.82214628","91, 75",38.1052,-122.028
432,Fish,"Alosa sapidissima, Engraulis mordax, Morone saxatilis",Suisun Bay,1995,2020,"25, 24, 26","19.70949052, 32.13982006, 13.04525317","77, 78, 100",38.0425,-122.108
433,Fish,"Alosa sapidissima, Morone saxatilis",Suisun Bay,1995,2020,"25, 24","11.48460898, 7.912480644","71, 87",38.06011667,-121.9828167
447,Fish,"Alosa sapidissima, Engraulis mordax",Suisun Bay,1995,2020,"24, 25","14.03557651, 119.6220378","76, 121",38.05591667,-122.1783333
534,Fish,"Alosa sapidissima, Dorosoma petenense, Morone saxatilis",Suisun Bay,1995,2020,"25, 24","25.20536914, 21.64580507, 16.53875544","101, 60, 71",38.07145,-121.9562
535,Fish,"Alosa sapidissima, Morone saxatilis",Confluence,1995,2020,"24, 25","19.73392166, 12.02105212","77, 90",38.04731667,-121.9176667
736,Fish,"Alosa sapidissima, Dorosoma petenense, Morone saxatilis",Confluence,1995,2020,"25, 26","54.46529873, 17.36062607, 10.65706517","102, 67, 83",38.06033333,-121.8043333
750,Fish,"Alosa sapidissima, Dorosoma petenense, Morone saxatilis",Delta,1995,2020,"24, 23","65.59544693, 43.03394664, 12.17961639","104, 67, 66",38.08466667,-121.75
751,Fish,"Alosa sapidissima, Dorosoma petenense, Morone saxatilis",Delta,1995,2020,"25, 22, 23","118.5274808, 24.62563524, 10.63584347","113, 69, 65",38.1055,-121.717
752,Fish,"Alosa sapidissima, Dorosoma petenense",Delta,"1995, 1997",2020,"25, 23","126.3142791, 45.59870741","111, 75",38.1042,-121.7125
760,Fish,"Alosa sapidissima, Dorosoma petenense",Delta,1995,2020,"24, 18","99.07017425, 32.41152562","98, 55",38.15233333,-121.6848333
837,Fish,"Alosa sapidissima, Dorosoma petenense",Confluence,1995,2020,"25, 24","52.72775344, 42.45013039","90, 86",38.0245,-121.76
853,Fish,"Alosa sapidissima, Dorosoma petenense, Morone saxatilis",Confluence,1995,2020,25,"42.3138079, 53.83288937, 10.02460983","95, 74, 72",38.0285,-121.737
863,Fish,"Alosa sapidissima, Dorosoma petenense",Delta,1995,"2020, 2017","25, 23","120.8924813, 50.8923575","88, 69",38.09145,-121.6511
864,Fish,"Alosa sapidissima, Dorosoma petenense",Delta,1995,2020,"25, 23","87.70628662, 19.66187439","91, 70",38.10116667,-121.598
865,Fish,"Alosa sapidissima, Dorosoma petenense",Delta,1995,2020,25,"78.23834238, 45.09610464","76, 74",38.08666667,-121.5763333
NZ028,Zooplankton,"Acartiella, Limnoithona, Pseudodiaptomus",Suisun Bay,1995,2021,27,"297.9919608, 167.6921429, 948.7531802","255, 266, 283",38.11722222,-122.0472222
NZ032,Zooplankton,"Acartiella, Eurytemora, Limnoithona, Pseudodiaptomus",Suisun Bay,1995,2021,27,"507.7305085, 894.0381124, 199.3924809, 1164.196507","236, 249, 262, 292",38.17027778,-122.0208333
NZ048,Zooplankton,"Acartiella, Limnoithona, Pseudodiaptomus",Suisun Bay,1995,2021,27,"427.1862343, 400.8806475, 501.34675","239, 278, 280",38.06,-121.9958333
NZ054,Zooplankton,"Limnoithona, Pseudodiaptomus",Confluence,1995,2021,27,"1088.782184, 833.3496071","261, 280",38.04583333,-121.9063889
NZ060,Zooplankton,"Limnoithona, Pseudodiaptomus",Confluence,1995,2021,27,"523.9973729, 1159.2635","236, 300",38.06444444,-121.8288889
NZ064,Zooplankton,"Pseudodiaptomus, Sinocalanus",Delta,1995,2021,27,"1364.767289, 373.5548178","284, 247",38.08472222,-121.7380556
NZ074,Zooplankton,Pseudodiaptomus,Confluence,1995,2021,27,1842.448247,291,38.02222222,-121.8036111
NZ086,Zooplankton,"Bosmina, Pseudodiaptomus, Sinocalanus",Delta,1995,2021,27,"193.9630065, 3875.974854, 163.9287072","306, 309, 263",38.07777778,-121.5702778
NZ092,Zooplankton,"Bosmina, Daphnia, Eurytemora, Pseudodiaptomus",Delta,1995,2021,27,"2960.211818, 993.1938567, 1208.394308, 5728.683586","308, 293, 260, 290",37.97833333,-121.3819444
NZD06,Zooplankton,"Acartia, Oithona, Pseudodiaptomus, Tortanus",Suisun Bay,1995,2021,27,"1089.478195, 670.4345055, 282.4437415, 180.2930116","277, 273, 294, 259",38.04444444,-122.1166667
NZD16,Zooplankton,"Bosmina, Pseudodiaptomus, Sinocalanus",Delta,1995,2021,27,"146.9246179, 3302.992298, 264.9585821","301, 309, 268",38.09722222,-121.6666667
NZD28,Zooplankton,"Bosmina, Daphnia, Eurytemora, Pseudodiaptomus, Sinocalanus",Delta,1995,2021,27,"118.3569463, 115.9725, 343.7610656, 3404.422848, 166.1759124","298, 244, 302, 274",37.98277778,-121.5772222
NZD41,Zooplankton,"Acartia, Oithona, Pseudodiaptomus",San Pablo Bay,1998,2021,24,"3328.010582, 2020.393792, 610.6718288","275, 269, 257",38.03055556,-122.3708333
NZM10,Zooplankton,"Bosmina, Eurytemora, Pseudodiaptomus",Delta,1995,2021,27,"1672.338426, 2246.243226, 9379.884373","305, 279, 311",38.04361111,-121.4263889
NZS42,Zooplankton,"Eurytemora, Limnoithona, Pseudodiaptomus",Suisun Bay,1995,2021,27,"1411.957955, 107.8846275, 974.5019454","269, 255, 293",38.18055556,-122.0472222
Centroid,Mean,,Central Bay,,,,,,37.84585833,-122.392605
Centroid,Mean,,Confluence,,,,,,38.04187857,-121.8225556
Centroid,Mean,,Delta,,,,,,38.07618675,-121.6192556
Centroid,Mean,,San Pablo Bay,,,,,,38.03223889,-122.3734733
Centroid,Mean,,South Bay,,,,,,37.62288333,-122.2536944
Centroid,Mean,,Suisun Bay,,,,,,38.08565833,-122.0621758
